Matriz inversa de la Multiplicacióń:
-0.0403	-0.0145	-0.0215	-0.0032	0.0419	0.0285	0.0015	0.0809	-0.0920	-0.0161		
-0.0031	0.0134	0.0333	-0.0013	0.0224	-0.0652	-0.0340	0.0109	-0.0491	0.0482		
0.0025	0.0152	0.0039	-0.0027	-0.0106	-0.0028	-0.0016	-0.0145	0.0207	-0.0019		
-0.0423	-0.0054	0.0106	0.0074	0.0387	-0.0100	-0.0051	0.0328	-0.0518	-0.0030		
-0.0875	-0.0027	-0.0018	-0.0065	0.0835	0.0263	-0.0082	0.0673	-0.1223	-0.0084		
0.0837	0.0189	0.0280	-0.0188	-0.0853	-0.0274	-0.0049	-0.1078	0.1494	0.0238		
0.0206	-0.0022	-0.0013	0.0075	0.0035	-0.0134	-0.0169	0.0200	-0.0172	0.0048		
0.0052	0.0089	0.0226	0.0005	0.0123	-0.0432	0.0114	-0.0163	-0.0048	-0.0070		
0.0155	-0.0095	-0.0286	0.0058	-0.0351	0.0411	0.0185	-0.0290	0.0654	-0.0089		
0.0483	-0.0077	-0.0135	0.0047	-0.0606	0.0246	0.0064	-0.0386	0.0735	0.0026		
