Matriz inversa de la Suma:
-0.0058	0.0101	0.2441	-0.0704	0.0864	-0.7492	0.1773	-0.0874	0.2790	0.0335		
-0.0282	0.0534	-0.2449	0.1014	-0.0253	0.6143	-0.1632	0.1356	-0.2226	-0.0986		
-0.0970	-0.0047	-0.1127	0.0722	-0.0629	0.1605	0.0985	0.0923	0.0669	-0.1406		
0.0073	0.0243	-0.1437	0.0746	-0.0155	0.5052	-0.1785	0.0436	-0.0856	-0.1195		
-0.0055	-0.0267	-0.0097	0.0053	-0.0240	0.0167	-0.0533	0.0777	0.0295	0.0180		
-0.1326	0.0008	-0.0995	0.1152	-0.1196	0.3158	0.0685	0.0701	-0.0851	-0.1047		
0.1429	0.0380	0.1345	-0.0980	0.0325	-0.3652	0.0199	-0.1078	0.1253	0.0588		
-0.0661	0.0143	0.0660	-0.0545	0.0165	-0.1560	0.0681	-0.0496	0.0474	0.0699		
0.1304	-0.0647	0.0686	-0.0769	0.0558	-0.0101	-0.0637	-0.0515	-0.1623	0.1352		
0.0274	0.0022	-0.0797	0.0481	-0.0024	0.1760	-0.0477	-0.0320	-0.0932	0.0358		
