Matriz inversa de la Multiplicacióń:
-0.0364	0.0429	0.0017	0.0141	-0.0599	0.0328	-0.0179	0.0194	-0.0312	0.0232		
-0.1079	0.1451	0.1933	0.1009	-0.3116	-0.1408	-0.1786	0.1386	-0.0170	-0.0018		
-0.1872	0.2884	0.6510	0.2751	-0.8390	-0.4990	-0.5239	0.3763	-0.0415	-0.0150		
-0.0644	0.1177	0.2348	0.1071	-0.3148	-0.1828	-0.1942	0.1298	-0.0109	-0.0095		
0.2005	-0.2975	-0.5681	-0.2512	0.8031	0.4192	0.4642	-0.3482	0.0792	-0.0263		
0.0295	-0.0819	-0.2162	-0.0753	0.2735	0.1705	0.1721	-0.1030	-0.0020	0.0020		
-0.0421	0.0308	0.0801	0.0392	-0.0901	-0.0655	-0.0488	0.0450	-0.0057	-0.0075		
-0.1095	0.2016	0.4795	0.1973	-0.6328	-0.3625	-0.3863	0.2775	-0.0421	-0.0029		
0.2738	-0.3772	-0.7872	-0.3781	1.0503	0.5863	0.6503	-0.4882	0.0665	0.0367		
-0.0192	0.0232	0.0884	0.0421	-0.1066	-0.0768	-0.0685	0.0479	-0.0081	0.0067		
